code,d,noise,p,model,frac_ones,LER,NC,1-NC,mode,ECR
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.7915,0.866,0.134,0.866,mixed,50.28
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.2222,0.134,0.134,0.866,mixed,22.59
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.5648,0.0973,0.0153,0.9847,mixed,56.06
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.2222,0.9847,0.0153,0.9847,mixed,21.94
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.5542,0.0396,0.028,0.972,mixed,51.46
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.2222,0.0279,0.028,0.972,mixed,19.95
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.3639,0.6837,0.135,0.865,mixed,43.7
heavyhex_surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.1167,0.8637,0.135,0.865,mixed,12.47
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.6669,0.0155,0.0155,0.9845,mixed,72.51
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.5556,0.9845,0.0155,0.9845,mixed,57.36
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.5555,0.0284,0.0284,0.9716,mixed,55.09
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.5556,0.9716,0.0284,0.9716,mixed,55.38
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.4444,0.1352,0.1352,0.8648,mixed,44.51
heavyhex_surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.4444,0.1352,0.1352,0.8648,mixed,44.21
