code,distance,noise_profile,error_rate,model,sim_LER,n_shots
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GraphMamba,0.046660,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,NoCorrection,0.048580,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,MWPM,0.356890,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,MWPM_mv,0.311050,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,CNN,0.161550,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCN,0.555550,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.951420,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GAT,0.157020,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.752270,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GNN,0.050300,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GraphTransformer,0.064060,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GraphMamba,0.091600,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,NoCorrection,0.203560,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,MWPM,0.395430,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,MWPM_mv,0.346660,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,CNN,0.273700,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCN,0.497200,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.203560,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GAT,0.286020,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.203560,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GNN,0.326970,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GraphTransformer,0.240440,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GraphMamba,0.227280,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,NoCorrection,0.024540,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM,0.363720,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM_mv,0.327630,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,CNN,0.184840,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCN,0.913980,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.975460,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GAT,0.247850,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.975460,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GNN,0.491720,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphTransformer,0.024580,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphMamba,0.061110,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,NoCorrection,0.047260,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM,0.367860,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM_mv,0.334840,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,CNN,0.243600,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCN,0.463070,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.952740,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GAT,0.224390,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.952740,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GNN,0.276240,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphTransformer,0.049360,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphMamba,0.071820,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,NoCorrection,0.203080,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,MWPM,0.408080,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,MWPM_mv,0.366630,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,CNN,0.346770,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCN,0.315090,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.796920,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GAT,0.325040,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.368750,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GNN,0.285650,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GraphTransformer,0.203070,100000
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GraphMamba,0.232900,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,NoCorrection,0.014840,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM,0.167630,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM_mv,0.112440,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,CNN,0.111310,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCN,0.055140,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.985160,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GAT,0.048460,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.985160,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GNN,0.633190,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphTransformer,0.048800,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphMamba,0.046750,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,NoCorrection,0.028760,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM,0.178090,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM_mv,0.121630,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,CNN,0.137550,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCN,0.029380,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.971240,100000
