code,noise,Distance,Error_Rate(p),Error_Type,model,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,3,0.001,,368942316.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,4,0.001,,368942316.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,5,0.001,,368942316.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,6,0.001,,368942316.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.25,89.92,0.0004,1,0.001,0.492982,0.463018
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,90.71,89.2,0.0001,2,0.001,0.461159,0.456752
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,88.61,90.81,0.0001,3,0.001,0.45621,0.455256
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.63,90.21,0.0001,4,0.001,0.453899,0.451111
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.6,90.12,0.0001,5,0.001,0.452239,0.452194
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,92.04,88.19,0.0002,6,0.001,0.451211,0.451759
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.05,90.47,0.0002,7,0.001,0.450354,0.452712
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,90.36,89.66,0.0001,8,0.001,0.44962,0.450957
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.46,90.48,0.0001,9,0.001,0.448921,0.451939
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,90.42,89.59,0.0001,10,0.001,0.448303,0.45344
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,CNN,89.11,90.63,0.0001,11,0.001,0.447695,0.455387
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,89.17,87.85,0.0002,1,0.001,0.51582,0.494342
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,90.0,86.96,0.0001,2,0.001,0.489596,0.491481
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,88.97,88.24,0.0001,3,0.001,0.486322,0.490909
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,90.04,86.97,0.0001,4,0.001,0.484561,0.490065
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,89.16,87.95,0.0001,5,0.001,0.48348,0.488428
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,89.28,87.87,0.0002,6,0.001,0.482654,0.48941
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,88.32,88.5,0.0002,7,0.001,0.482128,0.489421
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,87.09,89.87,0.0002,8,0.001,0.481587,0.489134
